title,material,weight,transport,recyclability,true_eco_score,co2_emissions,origin
electric guitar,Plastic,0.84,Land,Low,C,1.01,GERMANY
electric guitar,Plastic,1.2,Ship,Low,B,1.15,ITALY
electric guitar,Aluminum,0.78,Air,High,F,2.18,NORWAY
electric guitar,Plastic,0.2,Ship,Low,D,0.19,INDIA
electric guitar,Paper,0.29,Land,Medium,F,0.13,INDIA
electric guitar,Aluminum,0.85,Ship,High,F,0.76,GERMANY
electric guitar,Paper,0.73,Ship,Medium,D,0.26,SINGAPORE
electric guitar,Bamboo,0.51,Land,Medium,B,0.28,SINGAPORE
electric guitar,Aluminum,1.03,Ship,High,F,0.92,INDIA
electric guitar,Paper,1.96,Land,Medium,D,0.88,CHINA
electric guitar,Cardboard,1.29,Air,Medium,F,2.03,RUSSIA
electric guitar,Other,0.6,Land,Low,A,0.6,CHINA
electric guitar,Aluminum,1.39,Air,High,F,3.89,INDIA
electric guitar,Paper,1.87,Ship,Medium,D,0.67,ITALY
electric guitar,Cardboard,0.63,Air,Medium,F,0.99,RUSSIA
electric guitar,Paper,1.39,Land,Medium,D,0.63,NORWAY
electric guitar,Cardboard,0.83,Ship,Medium,C,0.42,NORWAY
electric guitar,Steel,1.58,Air,High,F,4.98,NORWAY
electric guitar,Steel,1.15,Ship,High,C,1.16,UK
electric guitar,Bamboo,1.28,Air,Medium,F,1.73,INDIA
electric guitar,Bamboo,1.19,Land,Medium,E,0.64,FRANCE
electric guitar,Bamboo,1.32,Air,Medium,F,1.78,CHINA
electric guitar,Aluminum,0.4,Air,High,F,1.12,SINGAPORE
amplifier,Steel,0.17,Land,High,C,0.21,ITALY
amplifier,Steel,0.1,Land,High,C,0.13,USA
amplifier,Cardboard,0.16,Land,Medium,A,0.1,CHINA
amplifier,Aluminum,1.47,Air,High,F,4.12,UK
amplifier,Other,1.17,Ship,Medium,B,0.84,GERMANY
amplifier,Bamboo,1.88,Air,Medium,F,2.54,CHINA
amplifier,Bamboo,1.76,Ship,Medium,D,0.76,BRAZIL
amplifier,Bamboo,1.06,Air,Medium,F,1.43,INDIA
amplifier,Bamboo,0.48,Land,Medium,C,0.26,SINGAPORE
amplifier,Plastic,1.21,Air,Low,F,3.63,JAPAN
amplifier,Glass,0.84,Ship,High,B,0.71,SINGAPORE
amplifier,Bamboo,1.25,Land,Medium,D,0.68,RUSSIA
amplifier,Aluminum,1.12,Air,High,F,3.14,CHINA
amplifier,Steel,1.2,Ship,High,C,1.21,ITALY
amplifier,Steel,1.22,Ship,High,D,1.23,JAPAN
amplifier,Glass,1.58,Land,High,D,1.66,ITALY
amplifier,Cardboard,0.62,Ship,Medium,B,0.31,ITALY
amplifier,Bamboo,1.37,Land,Medium,D,0.74,INDIA
amplifier,Bamboo,1.94,Land,Medium,D,1.05,INDIA
amplifier,Other,1.81,Land,High,D,1.27,GERMANY
amplifier,Bamboo,0.36,Land,Medium,D,0.19,FRANCE
amplifier,Bamboo,0.49,Land,Medium,D,0.26,NORWAY
amplifier,Other,1.26,Ship,High,D,0.71,INDIA
amplifier,Glass,1.25,Air,High,F,3.28,BRAZIL
amplifier,Other,1.23,Land,High,D,0.86,USA
amplifier,Bamboo,0.33,Land,Medium,F,0.18,USA
amplifier,Other,0.63,Land,Medium,F,0.57,BRAZIL
amplifier,Glass,1.19,Ship,High,B,1.0,USA
amplifier,Steel,0.5,Air,High,F,1.57,NORWAY
amplifier,Bamboo,1.17,Ship,Medium,B,0.51,USA
amplifier,Glass,0.89,Air,High,F,2.34,NORWAY
amplifier,Glass,1.79,Ship,High,D,1.5,BRAZIL
amplifier,Paper,1.09,Land,Medium,E,0.49,SINGAPORE
amplifier,Steel,1.34,Ship,High,D,1.35,BRAZIL
amplifier,Aluminum,0.51,Air,High,F,1.43,UK
amplifier,Plastic,0.91,Air,Low,F,2.73,USA
amplifier,Other,0.81,Ship,High,B,0.45,RUSSIA
amplifier,Paper,0.55,Ship,Medium,C,0.2,CHINA
amplifier,Other,0.82,Land,Low,A,0.82,BRAZIL
amplifier,Glass,0.6,Ship,High,B,0.5,SINGAPORE
amplifier,Bamboo,1.05,Ship,Medium,C,0.45,UK
amplifier,Other,1.1,Land,Medium,B,0.99,ITALY
amplifier,Plastic,1.84,Ship,Low,D,1.77,FRANCE
amplifier,Aluminum,1.16,Air,High,F,3.25,CHINA
amplifier,Bamboo,0.92,Ship,Medium,F,0.4,CHINA
amplifier,Cardboard,1.19,Land,Medium,A,0.75,USA
amplifier,Steel,1.7,Ship,High,D,1.71,FRANCE
amplifier,Bamboo,1.38,Ship,Medium,D,0.6,ITALY
amplifier,Bamboo,1.11,Land,Medium,E,0.6,SINGAPORE
amplifier,Cardboard,0.95,Air,Medium,F,1.5,FRANCE
amplifier,Cardboard,1.8,Ship,Medium,D,0.91,GERMANY
amplifier,Cardboard,1.7,Air,Medium,F,2.68,CHINA
amplifier,Plastic,0.91,Air,Low,F,2.73,GERMANY
amplifier,Steel,1.58,Ship,High,D,1.59,RUSSIA
amplifier,Aluminum,1.0,Ship,High,C,0.9,GERMANY
amplifier,Glass,0.82,Land,High,D,0.86,UK
amplifier,Aluminum,1.11,Land,High,C,1.24,NORWAY
amplifier,Aluminum,0.38,Land,High,A,0.43,ITALY
amplifier,Paper,0.68,Land,Medium,D,0.31,BRAZIL
amplifier,Plastic,0.77,Ship,Low,A,0.74,RUSSIA
amplifier,Plastic,1.49,Air,Low,F,4.47,RUSSIA
amplifier,Bamboo,1.66,Land,Medium,D,0.9,CHINA
amplifier,Plastic,1.88,Ship,Low,D,1.8,UK
amplifier,Glass,1.67,Air,High,F,4.38,UK
amplifier,Cardboard,0.94,Land,Medium,C,0.59,USA
amplifier,Paper,0.85,Air,Medium,F,0.96,NORWAY
amplifier,Cardboard,1.75,Land,Medium,D,1.1,BRAZIL
amplifier,Paper,1.24,Ship,Medium,D,0.45,SINGAPORE
amplifier,Steel,1.61,Air,High,F,5.07,INDIA
amplifier,Steel,1.36,Air,High,F,4.28,USA
amplifier,Cardboard,1.49,Land,Medium,D,0.94,USA
amplifier,Other,0.84,Air,Medium,F,1.89,CHINA
amplifier,Bamboo,1.45,Ship,Medium,D,0.63,JAPAN
amplifier,Bamboo,1.73,Air,Medium,F,2.34,FRANCE
amplifier,Cardboard,0.74,Air,Medium,F,1.17,USA
amplifier,Bamboo,1.4,Air,Medium,F,1.89,JAPAN
amplifier,Bamboo,1.63,Air,Medium,F,2.2,RUSSIA
amplifier,Other,0.89,Ship,High,D,0.5,INDIA
amplifier,Other,0.72,Land,High,B,0.5,GERMANY
amplifier,Paper,1.89,Air,Medium,F,2.13,JAPAN
amplifier,Other,0.2,Land,High,E,0.14,GERMANY
amplifier,Aluminum,1.35,Land,High,D,1.51,CHINA
amplifier,Steel,1.71,Land,High,D,2.15,BRAZIL
amplifier,Steel,1.58,Air,High,F,4.98,BRAZIL
amplifier,Bamboo,0.65,Air,Medium,F,0.88,SINGAPORE
amplifier,Steel,0.76,Land,High,C,0.96,UK
amplifier,Glass,1.58,Air,High,F,4.15,SINGAPORE
amplifier,Paper,0.89,Air,Medium,F,1.0,UK
amplifier,Steel,1.51,Land,High,D,1.9,GERMANY
amplifier,Steel,1.79,Land,High,D,2.26,RUSSIA
amplifier,Bamboo,1.45,Air,Medium,F,1.96,GERMANY
amplifier,Aluminum,0.8,Ship,High,B,0.72,NORWAY
amplifier,Other,0.88,Air,Medium,F,1.98,USA
amplifier,Bamboo,1.41,Land,Medium,D,0.76,NORWAY
amplifier,Bamboo,1.03,Land,Medium,F,0.56,JAPAN
amplifier,Other,1.74,Air,Low,F,4.35,RUSSIA
amplifier,Cardboard,1.5,Ship,Medium,D,0.76,USA
amplifier,Steel,0.45,Land,High,C,0.57,JAPAN
amplifier,Other,1.6,Ship,Medium,D,1.15,NORWAY
amplifier,Paper,1.22,Ship,Medium,D,0.44,FRANCE
office chair,Cardboard,1.47,Ship,Medium,D,0.74,GERMANY
office chair,Paper,1.7,Air,Medium,F,1.91,FRANCE
office chair,Aluminum,1.8,Ship,High,D,1.61,FRANCE
office chair,Glass,1.67,Ship,High,D,1.4,NORWAY
office chair,Cardboard,0.56,Ship,Medium,C,0.28,GERMANY
office chair,Other,0.63,Land,Low,E,0.63,RUSSIA
office chair,Cardboard,0.33,Air,Medium,F,0.52,JAPAN
office chair,Glass,1.06,Air,High,F,2.78,SINGAPORE
office chair,Aluminum,1.27,Land,High,D,1.42,JAPAN
office chair,Paper,1.76,Land,Medium,D,0.79,USA
office chair,Other,0.14,Land,Medium,D,0.13,ITALY
office chair,Cardboard,1.04,Air,Medium,F,1.64,ITALY
office chair,Steel,0.9,Land,High,C,1.13,GERMANY
office chair,Bamboo,1.83,Ship,Medium,D,0.79,JAPAN
office chair,Plastic,1.3,Land,Low,D,1.56,BRAZIL
office chair,Glass,0.15,Land,High,A,0.16,CHINA
office chair,Aluminum,0.67,Land,High,C,0.75,NORWAY
office chair,Steel,1.89,Ship,High,D,1.91,RUSSIA
office chair,Bamboo,0.41,Air,Medium,F,0.55,FRANCE
office chair,Paper,0.21,Ship,Medium,B,0.08,FRANCE
office chair,Other,0.55,Ship,Medium,D,0.4,INDIA
office chair,Steel,1.11,Ship,High,C,1.12,RUSSIA
office chair,Plastic,0.23,Ship,Low,A,0.22,FRANCE
office chair,Aluminum,0.27,Ship,High,B,0.24,ITALY
office chair,Aluminum,1.33,Land,High,D,1.49,SINGAPORE
office chair,Steel,0.24,Land,High,C,0.3,INDIA
office chair,Aluminum,0.51,Ship,High,F,0.46,GERMANY
office chair,Plastic,1.1,Ship,Low,D,1.06,RUSSIA
office chair,Glass,0.66,Land,High,B,0.69,RUSSIA
office chair,Cardboard,1.89,Air,Medium,F,2.98,FRANCE
office chair,Paper,0.29,Air,Medium,F,0.33,INDIA
office chair,Cardboard,1.48,Ship,Medium,D,0.75,INDIA
office chair,Steel,1.49,Land,High,D,1.88,BRAZIL
office chair,Paper,1.96,Ship,Medium,D,0.71,INDIA
office chair,Steel,1.5,Ship,High,D,1.51,SINGAPORE
office chair,Aluminum,0.68,Ship,High,D,0.61,NORWAY
office chair,Steel,0.25,Land,High,C,0.32,JAPAN
office chair,Plastic,0.82,Air,Low,F,2.46,NORWAY
office chair,Aluminum,1.21,Air,High,F,3.39,BRAZIL
office chair,Plastic,0.77,Land,Low,C,0.92,USA
office chair,Cardboard,1.21,Land,Medium,D,0.76,RUSSIA
office chair,Paper,1.11,Air,Medium,F,1.25,BRAZIL
office chair,Paper,0.15,Ship,Medium,C,0.05,SINGAPORE
office chair,Bamboo,0.77,Air,Medium,F,1.04,USA
office chair,Other,0.89,Ship,High,D,0.5,SINGAPORE
office chair,Aluminum,0.99,Land,High,D,1.11,RUSSIA
office chair,Aluminum,0.46,Ship,High,D,0.41,FRANCE
office chair,Steel,0.16,Ship,High,C,0.16,BRAZIL
office chair,Aluminum,1.12,Land,High,F,1.25,ITALY
office chair,Steel,1.34,Air,High,F,4.22,BRAZIL
office chair,Glass,1.66,Ship,High,D,1.39,CHINA
office chair,Cardboard,0.53,Air,Medium,F,0.83,ITALY
office chair,Bamboo,1.18,Land,Medium,C,0.64,INDIA
office chair,Cardboard,1.91,Ship,Medium,D,0.96,INDIA
office chair,Steel,0.72,Ship,High,C,0.73,ITALY
office chair,Paper,1.69,Air,Medium,F,1.9,RUSSIA
office chair,Glass,1.15,Land,High,B,1.21,NORWAY
office chair,Plastic,1.33,Air,Low,F,3.99,CHINA
office chair,Other,0.59,Air,Low,F,1.47,JAPAN
office chair,Cardboard,0.12,Air,Medium,F,0.19,BRAZIL
office chair,Cardboard,0.75,Air,Medium,F,1.18,ITALY
office chair,Cardboard,0.84,Ship,Medium,C,0.42,FRANCE
office chair,Paper,0.95,Land,Medium,D,0.43,BRAZIL
office chair,Glass,0.8,Ship,High,B,0.67,SINGAPORE
office chair,Steel,0.51,Ship,High,C,0.51,GERMANY
office chair,Paper,0.9,Land,Medium,B,0.41,INDIA
office chair,Paper,1.35,Air,Medium,F,1.52,BRAZIL
office chair,Bamboo,1.19,Air,Medium,F,1.61,SINGAPORE
office chair,Steel,1.58,Land,High,D,1.99,USA
office chair,Steel,1.74,Ship,High,D,1.75,UK
office chair,Other,0.38,Air,Low,F,0.95,BRAZIL
office chair,Plastic,0.56,Land,Low,C,0.67,ITALY
office chair,Paper,0.84,Air,Medium,F,0.95,BRAZIL
office chair,Plastic,0.88,Land,Low,C,1.06,JAPAN
office chair,Paper,1.16,Land,Medium,E,0.52,ITALY
office chair,Steel,0.77,Land,High,C,0.97,INDIA
office chair,Glass,1.9,Air,High,F,4.99,FRANCE
office chair,Steel,1.62,Ship,High,D,1.63,BRAZIL
office chair,Bamboo,1.05,Ship,Medium,A,0.45,UK
office chair,Cardboard,0.22,Air,Medium,F,0.35,CHINA
office chair,Bamboo,0.79,Ship,Medium,E,0.34,CHINA
office chair,Paper,0.83,Air,Medium,F,0.93,USA
office chair,Paper,1.3,Air,Medium,F,1.46,NORWAY
office chair,Steel,1.21,Ship,High,D,1.22,ITALY
office chair,Steel,1.42,Air,High,F,4.47,JAPAN
office chair,Bamboo,1.71,Air,Medium,F,2.31,UK
office chair,Aluminum,1.63,Land,High,D,1.83,NORWAY
office chair,Bamboo,1.52,Land,Medium,D,0.82,CHINA
office chair,Glass,0.7,Air,High,F,1.84,SINGAPORE
office chair,Plastic,1.12,Land,Low,C,1.34,SINGAPORE
office chair,Plastic,0.99,Ship,Low,E,0.95,UK
office chair,Glass,1.36,Ship,High,D,1.14,ITALY
office chair,Steel,0.74,Land,High,C,0.93,USA
office chair,Cardboard,1.71,Ship,Medium,D,0.86,USA
office chair,Bamboo,0.42,Land,Medium,E,0.23,BRAZIL
office chair,Other,0.51,Air,Medium,F,1.15,RUSSIA
office chair,Glass,1.8,Air,High,F,4.72,FRANCE
office chair,Cardboard,1.79,Ship,Medium,D,0.9,INDIA
office chair,Other,1.51,Air,High,F,2.64,JAPAN
office chair,Cardboard,0.26,Air,Medium,F,0.41,INDIA
notepad,Glass,0.38,Air,High,F,1.0,JAPAN
notepad,Bamboo,1.13,Land,Medium,A,0.61,FRANCE
notepad,Glass,0.39,Land,High,C,0.41,UK
notepad,Steel,0.4,Land,High,C,0.5,UK
notepad,Glass,1.81,Ship,High,D,1.52,USA
notepad,Aluminum,0.96,Ship,High,A,0.86,FRANCE
notepad,Paper,0.11,Ship,Medium,F,0.04,FRANCE
notepad,Bamboo,0.77,Land,Medium,C,0.42,USA
notepad,Cardboard,0.79,Ship,Medium,C,0.4,USA
notepad,Plastic,0.39,Ship,Low,A,0.37,JAPAN
notepad,Glass,1.84,Land,High,D,1.93,CHINA
notepad,Cardboard,1.56,Land,Medium,D,0.98,FRANCE
notepad,Plastic,0.14,Ship,Low,D,0.13,BRAZIL
notepad,Glass,1.23,Land,High,D,1.29,FRANCE
notepad,Glass,0.59,Land,High,A,0.62,NORWAY
notepad,Plastic,0.16,Land,Low,C,0.19,UK
notepad,Aluminum,0.65,Land,High,B,0.73,BRAZIL
notepad,Glass,1.22,Ship,High,D,1.02,UK
notepad,Other,0.73,Ship,Medium,B,0.53,UK
notepad,Plastic,1.93,Air,Low,F,5.79,SINGAPORE
notepad,Bamboo,0.34,Air,Medium,F,0.46,CHINA
notepad,Steel,0.49,Ship,High,C,0.49,NORWAY
notepad,Plastic,0.78,Air,Low,F,2.34,RUSSIA
notepad,Bamboo,1.2,Ship,Medium,A,0.52,JAPAN
notepad,Aluminum,0.25,Land,High,A,0.28,GERMANY
notepad,Cardboard,1.46,Land,Medium,D,0.92,UK
notepad,Paper,0.85,Land,Medium,C,0.38,RUSSIA
notepad,Other,0.19,Ship,Low,B,0.15,BRAZIL
notepad,Cardboard,0.78,Ship,Medium,C,0.39,JAPAN
notepad,Aluminum,0.28,Ship,High,A,0.25,RUSSIA
notepad,Steel,0.21,Land,High,C,0.26,NORWAY
notepad,Plastic,1.75,Land,Low,D,2.1,FRANCE
notepad,Other,0.44,Air,Medium,F,0.99,ITALY
notepad,Aluminum,1.73,Land,High,D,1.94,JAPAN
notepad,Bamboo,0.16,Ship,Medium,A+,0.07,USA
notepad,Other,1.98,Land,High,D,1.39,BRAZIL
notepad,Plastic,0.5,Air,Low,F,1.5,INDIA
notepad,Paper,1.84,Air,Medium,F,2.07,NORWAY
notepad,Plastic,0.79,Ship,Low,A,0.76,GERMANY
notepad,Aluminum,0.21,Land,High,E,0.24,JAPAN
notepad,Plastic,0.3,Land,Low,C,0.36,INDIA
notepad,Plastic,1.04,Land,Low,C,1.25,BRAZIL
notepad,Glass,0.79,Ship,High,B,0.66,JAPAN
notepad,Other,1.82,Land,Medium,D,1.64,UK
notepad,Paper,0.65,Land,Medium,A,0.29,UK
notepad,Bamboo,1.37,Ship,Medium,D,0.59,BRAZIL
notepad,Bamboo,1.12,Air,Medium,F,1.51,UK
notepad,Aluminum,1.33,Land,High,D,1.49,UK
notepad,Aluminum,1.8,Ship,High,D,1.61,ITALY
notepad,Other,1.86,Ship,High,D,1.04,USA
notepad,Aluminum,1.16,Ship,High,C,1.04,RUSSIA
notepad,Paper,0.35,Air,Medium,F,0.39,ITALY
notepad,Other,1.06,Ship,Low,F,0.85,BRAZIL
notepad,Paper,0.64,Ship,Medium,C,0.23,ITALY
notepad,Plastic,1.91,Land,Low,D,2.29,GERMANY
notepad,Cardboard,0.38,Air,Medium,F,0.6,FRANCE
notepad,Paper,1.19,Ship,Medium,A,0.43,SINGAPORE
notepad,Other,0.48,Ship,High,C,0.27,CHINA
notepad,Bamboo,0.62,Land,Medium,B,0.33,USA
notepad,Steel,0.39,Ship,High,C,0.39,GERMANY
notepad,Cardboard,0.72,Ship,Medium,D,0.36,RUSSIA
notepad,Glass,0.84,Land,High,B,0.88,JAPAN
notepad,Steel,0.41,Land,High,C,0.52,USA
notepad,Cardboard,1.56,Ship,Medium,D,0.79,UK
notepad,Other,0.11,Land,Low,D,0.11,INDIA
notepad,Bamboo,0.28,Ship,Medium,A+,0.12,GERMANY
notepad,Paper,1.69,Land,Medium,D,0.76,JAPAN
notepad,Aluminum,0.88,Ship,High,D,0.79,BRAZIL
notepad,Plastic,1.0,Land,Low,C,1.2,JAPAN
notepad,Glass,0.2,Land,High,D,0.21,RUSSIA
notepad,Paper,0.34,Ship,Medium,D,0.12,JAPAN
notepad,Plastic,0.37,Land,Low,C,0.44,SINGAPORE
notepad,Steel,1.56,Ship,High,D,1.57,ITALY
notepad,Paper,1.52,Land,Medium,D,0.68,RUSSIA
notepad,Plastic,0.31,Ship,Low,B,0.3,CHINA
notepad,Other,1.19,Air,Medium,F,2.68,FRANCE
notepad,Aluminum,1.98,Air,High,F,5.54,INDIA
notepad,Glass,0.27,Air,High,F,0.71,BRAZIL
notepad,Aluminum,0.46,Land,High,C,0.52,FRANCE
notepad,Steel,1.78,Land,High,D,2.24,JAPAN
notepad,Other,1.42,Air,Low,F,3.55,UK
notepad,Paper,0.71,Air,Medium,F,0.8,BRAZIL
notepad,Cardboard,1.98,Air,Medium,F,3.12,FRANCE
notepad,Plastic,1.74,Air,Low,F,5.22,RUSSIA
notepad,Aluminum,0.75,Air,High,F,2.1,FRANCE
notepad,Other,0.72,Land,Low,F,0.72,INDIA
notepad,Aluminum,0.65,Air,High,F,1.82,FRANCE
notepad,Bamboo,0.54,Land,Medium,F,0.29,INDIA
notepad,Bamboo,0.12,Air,Medium,F,0.16,USA
notepad,Glass,1.71,Air,High,F,4.49,CHINA
notepad,Aluminum,1.02,Ship,High,C,0.91,NORWAY
notepad,Paper,1.23,Ship,Medium,D,0.44,RUSSIA
notepad,Paper,0.35,Land,Medium,C,0.16,UK
notepad,Other,0.28,Land,Medium,E,0.25,CHINA
notepad,Aluminum,1.48,Ship,High,D,1.33,CHINA
notepad,Aluminum,0.73,Ship,High,E,0.65,UK
notepad,Bamboo,0.84,Air,Medium,F,1.13,UK
notepad,Aluminum,1.02,Land,High,D,1.14,ITALY
notepad,Glass,0.64,Land,High,F,0.67,GERMANY
notepad,Plastic,0.27,Ship,Low,E,0.26,JAPAN
pencils,Glass,1.22,Land,High,D,1.28,NORWAY
pencils,Paper,1.51,Land,Medium,D,0.68,SINGAPORE
pencils,Paper,0.56,Ship,Medium,C,0.2,CHINA
pencils,Other,1.19,Land,High,D,0.83,JAPAN
pencils,Other,0.57,Air,Low,F,1.42,RUSSIA
pencils,Paper,1.01,Air,Medium,F,1.14,JAPAN
pencils,Glass,1.87,Land,High,D,1.96,FRANCE
pencils,Steel,1.87,Ship,High,D,1.88,NORWAY
pencils,Bamboo,0.11,Land,Medium,D,0.06,NORWAY
pencils,Cardboard,1.16,Ship,Medium,E,0.58,NORWAY
pencils,Paper,1.18,Land,Medium,F,0.53,RUSSIA
pencils,Cardboard,0.68,Ship,Medium,A,0.34,JAPAN
pencils,Cardboard,0.35,Land,Medium,E,0.22,GERMANY
pencils,Other,1.22,Air,Low,F,3.05,ITALY
pencils,Aluminum,1.32,Air,High,F,3.7,SINGAPORE
pencils,Aluminum,0.38,Ship,High,F,0.34,UK
pencils,Bamboo,1.87,Air,Medium,F,2.52,INDIA
pencils,Other,0.83,Land,High,C,0.58,UK
pencils,Cardboard,0.12,Air,Medium,F,0.19,RUSSIA
pencils,Other,0.9,Land,Low,D,0.9,NORWAY
pencils,Bamboo,0.2,Land,Medium,C,0.11,CHINA
pencils,Cardboard,0.9,Ship,Medium,E,0.45,FRANCE
pencils,Bamboo,0.26,Land,Medium,C,0.14,USA
pencils,Cardboard,1.01,Ship,Medium,E,0.51,USA
pencils,Steel,1.87,Land,High,D,2.36,UK
pencils,Aluminum,0.34,Ship,High,E,0.3,NORWAY
pencils,Other,1.4,Air,High,F,2.45,GERMANY
pencils,Glass,0.46,Land,High,E,0.48,RUSSIA
pencils,Aluminum,0.83,Air,High,F,2.32,NORWAY
pencils,Aluminum,0.91,Ship,High,A,0.82,ITALY
pencils,Glass,1.87,Air,High,F,4.91,GERMANY
pencils,Bamboo,0.17,Air,Medium,F,0.23,JAPAN
pencils,Paper,0.14,Ship,Medium,D,0.05,ITALY
pencils,Aluminum,0.45,Land,High,B,0.5,BRAZIL
pencils,Other,1.99,Land,Medium,D,1.79,JAPAN
pencils,Aluminum,1.47,Land,High,D,1.65,USA
pencils,Bamboo,0.65,Air,Medium,F,0.88,INDIA
pencils,Steel,1.35,Air,High,F,4.25,INDIA
pencils,Paper,1.54,Air,Medium,F,1.73,FRANCE
pencils,Steel,2.0,Land,High,D,2.52,CHINA
pencils,Steel,1.9,Land,High,D,2.39,SINGAPORE
pencils,Other,0.41,Land,Medium,C,0.37,CHINA
pencils,Other,1.45,Ship,High,D,0.81,NORWAY
pencils,Glass,0.96,Air,High,F,2.52,GERMANY
pencils,Cardboard,0.68,Ship,Medium,D,0.34,FRANCE
pencils,Bamboo,0.78,Land,Medium,C,0.42,RUSSIA
pencils,Paper,1.97,Ship,Medium,D,0.71,SINGAPORE
pencils,Other,0.32,Air,High,F,0.56,BRAZIL
pencils,Cardboard,1.68,Ship,Medium,D,0.85,RUSSIA
pencils,Cardboard,0.13,Land,Medium,F,0.08,INDIA
pencils,Cardboard,1.16,Ship,Medium,A,0.58,SINGAPORE
pencils,Cardboard,1.38,Air,Medium,F,2.17,USA
pencils,Plastic,0.49,Air,Low,F,1.47,CHINA
pencils,Cardboard,0.27,Ship,Medium,C,0.14,FRANCE
pencils,Other,1.05,Land,Medium,E,0.95,BRAZIL
pencils,Cardboard,1.32,Air,Medium,F,2.08,CHINA
pencils,Paper,1.25,Ship,Medium,D,0.45,RUSSIA
pencils,Glass,0.44,Air,High,F,1.16,ITALY
pencils,Other,0.66,Air,Low,F,1.65,JAPAN
pencils,Bamboo,0.73,Land,Medium,F,0.39,SINGAPORE
pencils,Cardboard,1.3,Ship,Medium,D,0.66,JAPAN
pencils,Aluminum,0.47,Ship,High,B,0.42,UK
pencils,Steel,1.71,Air,High,F,5.39,UK
pencils,Steel,1.0,Land,High,C,1.26,USA
pencils,Paper,0.77,Air,Medium,F,0.87,GERMANY
pencils,Other,0.23,Air,High,F,0.4,CHINA
pencils,Other,1.3,Ship,Low,D,1.04,GERMANY
pencils,Plastic,0.89,Air,Low,F,2.67,ITALY
pencils,Cardboard,1.56,Air,Medium,F,2.46,USA
pencils,Steel,1.97,Ship,High,D,1.99,USA
pencils,Bamboo,1.68,Land,Medium,D,0.91,USA
pencils,Aluminum,0.3,Air,High,F,0.84,FRANCE
pencils,Paper,1.73,Air,Medium,F,1.95,NORWAY
pencils,Paper,0.81,Ship,Medium,F,0.29,INDIA
pencils,Cardboard,1.13,Land,Medium,A,0.71,RUSSIA
pencils,Other,0.3,Ship,High,E,0.17,UK
pencils,Paper,0.34,Land,Medium,D,0.15,FRANCE
pencils,Aluminum,1.09,Ship,High,B,0.98,INDIA
pencils,Aluminum,1.4,Air,High,F,3.92,ITALY
pencils,Bamboo,0.64,Ship,Medium,C,0.28,USA
pencils,Bamboo,0.32,Ship,Medium,A+,0.14,SINGAPORE
pencils,Bamboo,1.0,Ship,Medium,D,0.43,BRAZIL
pencils,Glass,1.88,Land,High,D,1.97,BRAZIL
pencils,Bamboo,1.14,Ship,Medium,F,0.49,NORWAY
pencils,Cardboard,0.61,Ship,Medium,A,0.31,SINGAPORE
pencils,Paper,0.89,Air,Medium,F,1.0,RUSSIA
pencils,Bamboo,1.02,Ship,Medium,C,0.44,UK
pencils,Cardboard,1.11,Air,Medium,F,1.75,NORWAY
pencils,Plastic,0.76,Air,Low,F,2.28,INDIA
pencils,Steel,1.7,Land,High,D,2.14,GERMANY
pencils,Cardboard,0.38,Ship,Medium,F,0.19,UK
pencils,Other,0.17,Air,Medium,F,0.38,CHINA
pencils,Other,0.65,Ship,Medium,B,0.47,GERMANY
pencils,Paper,0.23,Air,Medium,F,0.26,BRAZIL
pencils,Paper,1.69,Air,Medium,F,1.9,INDIA
pencils,Other,1.92,Land,High,D,1.34,CHINA
pencils,Aluminum,1.24,Ship,High,D,1.11,FRANCE
pencils,Paper,0.14,Ship,Medium,B,0.05,CHINA
pencils,Bamboo,0.72,Ship,Medium,C,0.31,RUSSIA
pencils,Other,0.71,Land,Low,A,0.71,RUSSIA
snowboard,Other,1.01,Land,High,A,0.71,BRAZIL
snowboard,Bamboo,1.29,Land,Medium,D,0.7,SINGAPORE
snowboard,Glass,1.5,Ship,High,D,1.26,GERMANY
snowboard,Paper,0.76,Ship,Medium,F,0.27,CHINA
snowboard,Steel,1.35,Ship,High,D,1.36,INDIA
snowboard,Aluminum,1.28,Air,High,F,3.58,RUSSIA
snowboard,Plastic,1.33,Land,Low,D,1.6,NORWAY
snowboard,Other,0.18,Air,Medium,F,0.4,GERMANY
snowboard,Steel,1.01,Air,High,F,3.18,SINGAPORE
snowboard,Aluminum,0.93,Air,High,F,2.6,UK
snowboard,Glass,1.05,Air,High,F,2.76,FRANCE
snowboard,Glass,1.56,Ship,High,D,1.31,ITALY
snowboard,Paper,0.89,Land,Medium,B,0.4,USA
snowboard,Bamboo,0.61,Air,Medium,F,0.82,FRANCE
snowboard,Cardboard,1.46,Ship,Medium,D,0.74,GERMANY
snowboard,Glass,1.4,Ship,High,D,1.18,SINGAPORE
snowboard,Aluminum,1.53,Land,High,D,1.71,NORWAY
snowboard,Cardboard,0.47,Ship,Medium,D,0.24,RUSSIA
snowboard,Paper,1.69,Air,Medium,F,1.9,USA
snowboard,Plastic,1.63,Ship,Low,D,1.56,NORWAY
snowboard,Steel,0.97,Air,High,F,3.06,CHINA
snowboard,Aluminum,0.31,Land,High,C,0.35,UK
snowboard,Cardboard,1.56,Air,Medium,F,2.46,JAPAN
snowboard,Paper,0.77,Ship,Medium,F,0.28,CHINA
snowboard,Plastic,1.64,Ship,Low,D,1.57,USA
